address,price,details,Price,Bedrooms,Bathrooms,Latitude,Longitude
"2550 Lawrence Ave #1402, Toronto, ON M1P 4Z3","C$539,000",2 bds2 ba- Condo for sale,539000,2,2,43.7516958,-79.26639850000001
"17 Anndale Dr #2310, Toronto, ON M2N 2W7","C$589,000",1 bd1 ba- Condo for sale,589000,1,1,43.760124,-79.40765379999999
"6 Muskox Dr, Toronto, ON M1B 6E9","C$1,149,900",4 bds4 ba- House for sale,1149900,4,4,43.81026869999999,-79.18442530000002
"234 A Albion Rd #304, Toronto, ON M9W 6A5","C$499,900",3 bds2 ba- Condo for sale,499900,3,2,43.7211803,-79.5443161
"106 Dovercourt Rd #411, Toronto, ON M6J 0G4","C$738,000",2 bds2 ba- Condo for sale,738000,2,2,43.6432808,-79.422524
"96 Dunraven Dr, Toronto, ON M6M 1H3","C$1,050,000",3 bds2 ba- House for sale,1050000,3,2,43.6852496,-79.4675918
"25 Ritchie Ave #111, Toronto, ON M6R 2J6","C$1,090,000",2 bds2 ba- Condo for sale,1090000,2,2,43.6523516,-79.4500271
"45 Cedarcroft Blvd #3, Toronto, ON M2R 3Y2","C$599,000",3 bds3 ba- Townhouse for sale,599000,3,3,43.7828726,-79.4497039
"18 Denver Cres, Toronto, ON M2J 1G7","C$2,490,000",5 bds4 ba- House for sale,2490000,5,4,43.77193459999999,-79.35687109999999
"365 Church St #612, Toronto, ON M5B 0B5","C$959,000",3 bds2 ba- Condo for sale,959000,3,2,43.6610459,-79.3787591
"279 Lappin Ave, Toronto, ON M6H 1Y9","C$919,999",2 bds2 ba- Townhouse for sale,919999,2,2,43.6645261,-79.4465967
"1 A Palace Pier Ct #2706, Toronto, ON M8V 3W9","C$1,599,900",2 bds3 ba- Condo for sale,1599900,2,3,43.6316252,-79.47271789999999
"25 Fontenay Ct #808, Toronto, ON M9A 0C4","C$849,800",2 bds2 ba- Condo for sale,849800,2,2,43.682477,-79.5111077
"50 Shirley St, Toronto, ON M6K 1T1","C$1,550,000",4 bds3 ba- House for sale,1550000,4,3,43.6480804,-79.43832479999999
"83 Montressor Dr, Toronto, ON M2P 1Z3","C$2,480,000",4 bds5 ba- House for sale,2480000,4,5,43.7592502,-79.3937588
"9 Burnhamthorpe Cres #316, Toronto, ON M9A 0A6","C$499,900",1 bd1 ba- Condo for sale,499900,1,1,43.6499861,-79.5291506
